tags,pilates,name,location,avg_rating,num_ratings
['pilates'],True,Broadway Pilates,"36 Broadway Market, London",4.8,(25000+)
"['swimming', ' gym time', ' …']",False,Fitness First,"179A Tottenham Court Road, London",4.8,(22500+)
"['barre', ' pilates']",True,Barrecore,"90 Upper Street, London",4.8,(25000+)
"['barre', ' pilates', ' …']",True,nue | ground,"32 Abbeville Road, London",4.9,(5000+)
['pilates'],True,Tempo 301 | E1,"Cygnet St, London",4.8,(30000+)
"['yoga', ' prenatal', ' …']",False,Yogarise,"YR Stretz, 248A Streatham High Rd, London",4.8,(15000+)
"['pilates', ' aerial']",True,Mojo,"149a Clapham High street, Clapham Common, London",4.7,(30000+)
"['pilates', ' stretching']",True,Absolute Studios,"19 Heathman's Rd, Unit G, London",4.8,(30000+)
"['pilates', ' barre']",True,Reformer Collective,"98 Balham High Road, London",4.8,(5000+)
"['barre', ' pilates', ' …']",True,Disco Barre Studio,"The Factory Unit 5 21-31 Shacklewell Lane, London",4.9,(17500+)
"['pilates', ' yoga', ' …']",True,Repose,"Repose Space Kensington, 40 Kensington High Street, London",4.9,(12500+)
"['pilates', ' prenatal', ' …']",True,Mind and Motion,"16 Streatham High Road, Streatham, London",4.9,(2500+)
"['yoga', ' pilates', ' …']",True,The Life Centre,"15 Edge St, London",4.7,(30000+)
"['yoga', ' pilates', ' …']",True,Breeze Yoga,"9 Albemarle Road, Beckenham",4.8,(15000+)
"['barre', ' pilates', ' …']",True,EVOKE,"307A Seven Sisters Rd, Unit A Rowan Apartments , London",4.8,(20000+)
"['pilates', ' barre']",True,House Of Balance,"28 High St, Chislehurst",4.9,(2500+)
"['yoga', ' pilates', ' …']",True,triyoga,"Longfield Ave, Unit 30, London",4.8,(20000+)
"['strength training', ' pilates', ' …']",True,Guts & Glory,"20 Lettice Street, London",4.9,(2500+)
"['yoga', ' low-impact training', ' …']",False,Sadhana Yoga & Wellbeing,"91 St John's Hill, London",4.7,(30000+)
['pilates'],True,Reformcore,"90 Upper Street, London",4.8,(5000+)
"['yoga', ' pilates', ' …']",True,REVIVE,"45 Balham High Road, London",4.9,(30000+)
"['yoga', ' pilates']",True,Hot Yoga Brixton,"372 Coldharbour Lane, London",4.8,(15000+)
"['low-impact training', ' strength training', ' …']",False,Sweat by BXR,"Level 25, 22 Bishopsgate, London",4.8,(17500+)
['pilates'],True,Bootcamp Pilates,"4 Red Lion St, Richmond",4.8,(30000+)
"['pilates', ' personal training']",True,Tempo 301 | E8,"Unit 1, Great Eastern Buildings, Reading Lane, London",4.8,(30000+)
['pilates'],True,Core LDN,"341 Upper Richmond Road West, London",4.9,(2500+)
"['barre', ' pilates', ' …']",True,Barrecore,"18 Kensington Church St, London",4.8,(25000+)
"['yoga', ' pilates', ' …']",True,The Space,"Unit 3B, 9 Park Hill Clapham, London",4.9,(2500+)
"['pilates', ' barre', ' …']",True,The Proud Project,"227-229 Chiswick High Road, London",4.9,(10000+)
['pilates'],True,Range Reformer Pilates,"12 Marshgate Lane, Stratford, London",4.8,(2500+)
"['yoga', ' pilates', ' …']",True,50 Hill Rise,"Hill Rise, Richmond",4.9,(2500+)
"['dance', ' barre', ' …']",False,Off The Rails Studio,"Unit 8 8 Grant Road Clapham Junction , London",4.9,(5000+)
"['pilates', ' yoga', ' …']",True,The Loft Pilates Studio,"4 Jaggard Way, London",4.9,(5000+)
"['strength training', ' pilates', ' …']",True,Element Fitness,"1 Estreham road, London",4.9,(12500+)
"['pilates', ' barre', ' …']",True,Form Studios,"77 Lonsdale Rd, A, London",4.8,(30000+)
"['yoga', ' pilates', ' …']",True,Yoga at The ARC,"98b Saint Paul Street, London",4.9,(7500+)
"['yoga', ' pilates', ' …']",True,The Yoga Quarter,"8 Hornsey St, London",4.7,(17500+)
"['strength training', ' yoga', ' …']",False,Strong and Bendy,"The Trowbridge Centre, 1 Trowbride Road, London",4.9,(12500+)
"['pilates', ' prenatal', ' …']",True,Breathe Studio,"Islington House 313-314 Upper Street, Suite 7, London",4.9,(2500+)
['pilates'],True,Reformcore,"1, 3 Arches Ln, Station Circus, Nine Elms, London",4.8,(2500+)
"['yoga', ' barre', ' …']",False,The Yoga Bar,"21 Paradise Rd, London",4.9,(5000+)
"['yoga', ' pilates', ' …']",True,SHIVA SHAKTI STUDIOS,"137 Tottenham Lane, London",4.9,(12500+)
"['yoga', ' pilates']",True,Fold. Yoga,"Fold Yoga London, 97 Green Lanes, London",4.8,(12500+)
"['pilates', ' stretching', ' …']",True,Body Works West,"11 Lambton Pl, London",4.7,(20000+)
"['yoga', ' pilates']",True,Hot Yoga Shoreditch (formerly Yoga Union),"53 East Rd, London",4.8,(2500+)
"['barre', ' pilates']",True,Barrecore,"49 High Street Wimbledon, Lower Ground Floor, London",4.8,(15000+)
"['yoga', ' pilates', ' …']",True,Yoga Rocks,"481 a-b Green Lanes Palmers Green, London",4.9,(2500+)
"['pilates', ' sports recovery', ' …']",True,APPI Clinics,"Hampstead, 2B Heath Hurst Road, London",4.9,(5000+)
"['yoga', ' stretching', ' …']",False,moreyoga,"7 Chivers Passage, Ram Quarter, Wandsworth, London",4.8,(10000+)
"['yoga', ' pilates']",True,Renaissance Yoga and Wellbeing,"Tara Terrace Mantle Rd, London",4.8,(2500+)
"['pilates', ' yoga', ' …']",True,APPI Clinics,"Wimbledon Village, 1 Thornton Road, London",4.9,(2500+)
"['yoga', ' strength training', ' …']",False,Substation Brixton Ltd,"Lyham Road, London",4.8,(7500+)
"['gym time', ' swimming', ' …']",False,Fitness First,"55 Baker St, London",4.8,(15000+)
['pilates'],True,Myoset Classes,"2 Clove Crescent, London",4.9,(2500+)
"['yoga', ' pilates']",True,Phoenix Yoga,"228 Upper Richmond Road,, Putney",4.9,(2500+)
"['yoga', ' pilates', ' …']",True,MoreYoga,"4 Elephant and Castle, New Lion Way, London",4.7,(10000+)
"['pilates', ' yoga', ' …']",True,Goji | Pilates & Yoga Clapham,"Goji Pilates & Yoga Studio - Clapham Old Town, 11 Old Town, London",4.9,(1000+)
"['yoga', ' pilates']",True,MoreYoga,"275 Balham High Road, London",4.7,(10000+)
"['yoga', ' pilates', ' …']",True,Hello Studio,"330 Hornsey Rd Finsbury Park, London",4.9,(2500+)
['pilates'],True,Pi Studios,"Ransomes Dock Business Centre, 35-37 Parkgate Rd, London",4.9,(7500+)
"['dance', ' aerial', ' …']",False,The Body People,"9 Copper Street, London",4.9,(1000+)
