tags,pilates,name,location,avg_rating,num_ratings
"['yoga', ' pilates', ' …']",True,Studio Moon Yoga & Pilates,"160 Ravenscroft Road, Beckenham",4.9,(100+)
['pilates'],True,Zoe Hodgson Pilates,"87 Douglas Road, Surbiton",5.0,(100+)
"['pilates', ' prenatal', ' …']",True,Pilates Body Studio,"88 The Mill Bexley High Street, Bexley, Bexley",4.9,(100+)
['pilates'],True,LifeBody,"78 Church Road, London",5.0,(100+)
"['gym time', ' strength training', ' …']",False,"New River Sport, Tennis & Fitness","New River Sport, Tennis & Fitness, White Hart Lane, London",4.6,(100+)
"['yoga', ' barre', ' …']",False,"Ánimo N16, Abney Park","Harriet Delph Room, Abney Park Cafe, Stoke Newington High Street, London",4.9,(100+)
['pilates'],True,Exhale Pilates Primrose Hill,"Ground Floor, 1 Whittlebury Mews West, London",4.8,(5000+)
"['pilates', ' barre', ' …']",True,Volonté Energy Studio,"10 Mortimer Street, London",4.6,(100+)
['pilates'],True,Physio On The Green,"Swan Mews, London",4.9,(100+)
"['strength training', ' cycling', ' …']",False,Park View Health Clubs,"Heath Parade,, 6 Grahame Park Way, London",4.6,(500+)
"['pilates', ' yoga']",True,JCW Holistic Fitness,"St. Andrew's Church, St Andrew’s Church Parish Of Alexandra Park, London",4.7,(500+)
"['strength training', ' dance', ' …']",False,Unite In Fitness,"9 Queen Anne's Place, Enfield",4.9,(100+)
"['gym time', ' strength training', ' …']",False,Anytime Fitness,"Croxley Business Park Hatters Lane, Watford",4.7,(100+)
"['outdoors', ' strength training', ' …']",False,FitBirds (Mayow Park),"79 Mayow Rd, London",4.9,(500+)
"['pilates', ' yoga']",True,Zoe Hodgson Pilates,"Ember Lane, Esher",4.9,(100+)
"['yoga', ' strength training', ' …']",False,Tula Balance,"V22, The Priory, Church Hill, Orpington",4.9,(100+)
"['gym time', ' pilates', ' …']",True,Energie Fitness,"Broomfield Ln, London N13 4EY, UK, London",4.6,(100+)
['pilates'],True,KARVE,"198 Kensington High Street, London",4.9,(17500+)
"['strength training', ' barre', ' …']",False,Pilates and Tara,"136 Hither Green Lane, London",5.0,(100+)
"['outdoors', ' strength training', ' …']",False,One Element Docklands,"Thames Barrier Park , London",4.9,(100+)
"['gym time', ' strength training', ' …']",False,Buzz Gym,"1 Suffolk Ln, London",4.6,(100+)
"['strength training', ' pilates', ' …']",True,Integrated Movement Studio,"Integrated Movement Studio, Unit 1 Tesla Court, Warple Way, London",4.8,(100+)
"['yoga', ' pilates', ' …']",True,SF Studios London,"5 Ella Mews, London",4.9,(100+)
['pilates'],True,Mindful Pilates Studio,"50 Hill Rise, Richmond",4.8,(100+)
"['strength training', ' yoga', ' …']",False,FitnessVIP,"36 England's Lane, London",4.8,(100+)
"['gym time', ' strength training', ' …']",False,Fitness4Less,"23-29 Great Suffolk Street, London",4.6,(100+)
"['yoga', ' dance', ' …']",False,TRIPSPACE,"339 Acton Mews, London",4.8,(30000+)
"['yoga', ' strength training', ' …']",False,Mind LDN,"Zedwell HotelB1 Level Great Windmill Street, London",4.8,(97)
['pilates'],True,Everybody Reformer,"289 Lower Addiscombe Road, Croydon",5.0,(44)
"['strength training', ' cycling', ' …']",False,Park View Health Clubs,"262 Green Lanes, London",4.6,(500+)
"['gym time', ' strength training', ' …']",False,Welcome Gym,"Welcome Gym, Gander Green Lane, Sutton",4.7,(100+)
['pilates'],True,Present Pilates,"2 Saint John's Road, London",4.9,(100+)
"['pilates', ' strength training']",True,Sertsari Private Training Studio,"13-17 Princes Road, Richmond",4.8,(84)
"['strength training', ' yoga', ' …']",False,Park View Health Clubs,"183-191 Ballards Ln, London",4.5,(500+)
['pilates'],True,Reformcore,"107 King's Road, London",4.8,(5000+)
['pilates'],True,The Hope Centre UK,"109 Tierney Rd, London",4.7,(100+)
"['strength training', ' yoga', ' …']",False,The Bridge,"73-81 Southwark Bridge Rd,, London",4.7,(100+)
"['strength training', ' boxing', ' …']",False,Mwah Fitness,"Kent Cricket club, Worsley Bridge Rd, Beckenham",5.0,(59)
"['dance', ' pilates', ' …']",True,ID Studios London,"Dickens Yard Longfield Avenue Ealing, Unit 32, London",4.8,(73)
"['pilates', ' yoga', ' …']",True,Truform Studio,"248 High Street, Beckenham",4.8,(19)
"['strength training', ' yoga', ' …']",False,Anytime Fitness,"77-83 The Broadway, London (West Ealing), Greater London, W13 9BP, London",4.4,(100+)
"['strength training', ' dance', ' …']",False,((BOUNCE)),"Thurlstone Road, Ruislip",4.8,(68)
['pilates'],True,Elite Reformer Pilates,"24 Hill Crest, Potters Bar",4.8,(33)
"['strength training', ' yoga', ' …']",False,The Mill Gym and Studio,"Mill Hill School, Walker House, The Ridgeway,, London",4.7,(67)
['pilates'],True,Elite Reformer Pilates,"16-17 Cockfosters Parade, Barnet",5.0,(13)
"['yoga', ' dance', ' …']",False,Dance With Me @The Hamptons,"Hamptons Estate, Worcester Park, London",4.8,(21)
"['pilates', ' barre']",True,All Abilities Pilates,"All Abilities Pilates, 140 Stanley Park Road, Carshalton",4.7,(35)
"['gym time', ' strength training', ' …']",False,THE REP ROOM,"UNIT 2 Stockbridge CI Hammond Street Cheshunt Waltham Cross, London",4.9,(27)
['pilates'],True,New Direction Studio,"60 Queen's Road, Buckhurst Hill",4.4,(100+)
"['dance', ' pilates', ' …']",True,The Cherish Club,"Bridgeman Street, Westminster, London",4.9,(23)
"['strength training', ' gym time', ' …']",False,The Edge Training,"Willows Activity Farm, Coursers Road, St. Albans",4.9,(27)
"['strength training', ' low-impact training', ' …']",False,Sylvestrian Leisure Centre,"Sylvestrian Leisure Centre, College Pl, London",4.3,(100+)
"['strength training', ' pilates', ' …']",True,Frame,"29 New Inn Yard, London",4.6,(30000+)
